source,target
11582761,141454932
11582761,141858304
11582761,141945806
11582761,142013357
11582761,142220824
11582761,142385878
11582761,142400528
11582761,142443148
11582761,142801762
11582761,143396598
11582761,144422292
11582761,144537523
11582761,144664468
11582761,144872155
11582761,144940640
11582761,145149172
11582761,145428355
11582761,145950873
11582761,146110676
11582761,146413578
11582761,146625922
11582761,146630280
11582761,146639841
11582761,147993446
11582761,148033000
11582761,148903772
11582761,149448785
11582761,150317869
11582761,150751893
11582761,150774596
11582761,151108430
11582761,151312593
11582761,152128185
11582761,152384018
11582761,152394468
11582761,152400735
11582761,152644769
11582761,152836112
11582761,152850670
11582761,153224987
11582761,153967589
11582761,154823725
11582761,155118230
11582761,155212766
11582761,155226683
11582761,155561154
11582761,155721319
11582761,156353850
11582761,156726680
11582761,157753296
11582761,157816427
11582761,158166141
11582761,159118972
11582761,159202167
11582761,159316113
11582761,159336054
11582761,160159738
11582761,160174019
11582761,160249299
11582761,161209341
11582761,161222686
11582761,161407919
11582761,161435048
11582761,161540828
11582761,162861841
11582761,163242061
11582761,163299699
11582761,163551592
11582761,164006826
11582761,164246319
11582761,164329256
11582761,164520138
11582761,165176971
11582761,166000841
11582761,166205007
11582761,166757739
11582761,166816141
11582761,167230156
11582761,167291003
11582761,167316199
11582761,167545765
11582761,167777920
11582761,168161324
11582761,168701780
11582761,168767318
11582761,169279855
11582761,169489051
11582761,169575434
11582761,170021880
11582761,170472329
11582761,170683851
11582761,170730430
11582761,170737767
11582761,171162317
11582761,171258317
11582761,171284303
11582761,171395567
11582761,171930019
11582761,173237443
11582761,173386926
11582761,173486653
11582761,173581893
11582761,174268256
11582761,174677986
11582761,175686126
11582761,175906477
11582761,175958588
11582761,176172952
11582761,176451027
11582761,176968970
11582761,177390750
11582761,177746245
11582761,177886926
11582761,178147995
11582761,178217491
11582761,178479077
11582761,178619321
11582761,178848415
11582761,178902404
11582761,178906912
11582761,179052039
11582761,179321534
11582761,179380627
11582761,179786405
11582761,179795197
11582761,180604402
11582761,180687612
11582761,181248611
11582761,181406704
11582761,181522231
11582761,181558859
11582761,181626623
11582761,182058398
11582761,182453920
11582761,182617638
11582761,182956057
11582761,183354128
11582761,184211613
11582761,185153658
11582761,185188534
11582761,185385906
11582761,185684951
11582761,186096654
11582761,186118285
11582761,186538322
11582761,186762528
11582761,187207459
11582761,187252435
11582761,187764317
11582761,188350441
11582761,189264044
11582761,189513745
11582761,189643676
11582761,189815420
11582761,189845964
11582761,190029274
11582761,190191196
11582761,190419909
11582761,190634493
11582761,191972180
11582761,193503030
11582761,194499926
11582761,194878816
11582761,195878779
11582761,196326288
11582761,197030850
11582761,197660859
11582761,198062805
11582761,198366602
11582761,198472758
11582761,198617981
11582761,198667745
11582761,199020115
11582761,199090493
11582761,199102688
11582761,199229220
11582761,199661680
11582761,199669314
11582761,200488801
11582761,200992933
11582761,201328934
11582761,201617974
11582761,201629562
11582761,202488043
11582761,202502936
11582761,202859581
11582761,203890821
11582761,203918569
11582761,203939801
11582761,204356272
11582761,204490996
11582761,204530503
11582761,204701074
11582761,205011688
11582761,205177736
11582761,205423404
11582761,205754806
11582761,205817003
11582761,206061740
11582761,206255671
11582761,206309114
11582761,207424876
11582761,207559006
11582761,207756843
11582761,207781368
11582761,208134070
11582761,208216169
11582761,208506462
11582761,208591540
11582761,209124530
11582761,209355072
11582761,209709458
11582761,209962282
11582761,209989416
11582761,211021068
11582761,211344491
11582761,212087862
11582761,212199289
11582761,212227330
11582761,212569631
11582761,213992037
